transaction_id,amount,timestamp
1,67.13,2025-04-16T04:12:41Z
2,13.94,2025-04-16T01:40:10Z
3,26.78,2025-04-16T05:25:28Z
4,50.02,2025-04-16T22:08:59Z
5,82.60,2025-04-16T06:05:49Z
6,15.42,2025-04-16T09:25:03Z
7,93.42,2025-04-16T12:13:28Z
8,21.45,2025-04-16T18:55:28Z
9,69.98,2025-04-16T19:39:16Z
10,45.82,2025-04-16T22:26:21Z
11,97.86,2025-04-16T00:59:49Z
12,57.21,2025-04-16T10:30:47Z
13,85.96,2025-04-16T01:27:48Z
14,93.43,2025-04-16T23:05:26Z
15,42.98,2025-04-16T20:37:32Z
16,80.17,2025-04-16T18:53:03Z
17,73.05,2025-04-16T11:18:24Z
18,33.12,2025-04-16T21:39:30Z
19,50.11,2025-04-16T19:15:31Z
20,77.39,2025-04-16T06:49:02Z
